"","country"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Argentina"
"5","Armenia"
"6","Australia"
"7","Austria"
"8","Azerbaijan"
"9","Barbados"
"10","Belarus"
"11","Belgium"
"12","Belize"
"13","Benin"
"14","Bosnia and Herzegovina"
"15","Botswana"
"16","Brazil"
"17","Bulgaria"
"18","Burkina Faso"
"19","Cabo Verde"
"20","Cambodia"
"21","Cameroon"
"22","Canada"
"23","Chile"
"24","China"
"25","Colombia"
"26","Congo (the)"
"27","Costa Rica"
"28","Côte d'Ivoire"
"29","Croatia"
"30","Cyprus"
"31","Czechia"
"32","Denmark"
"33","Ecuador"
"34","Egypt"
"35","El Salvador"
"36","Estonia"
"37","Ethiopia"
"38","Fiji"
"39","Finland"
"40","France"
"41","Georgia"
"42","Germany"
"43","Ghana"
"44","Greece"
"45","Guatemala"
"46","Honduras"
"47","Hong Kong"
"48","Hungary"
"49","Iceland"
"50","India"
"51","Indonesia"
"52","Iran (Islamic Republic of)"
"53","Ireland"
"54","Israel"
"55","Italy"
"56","Jamaica"
"57","Japan"
"58","Jordan"
"59","Kazakhstan"
"60","Kenya"
"61","Korea (the Republic of)"
"62","Kuwait"
"63","Kyrgyzstan"
"64","Latvia"
"65","Lebanon"
"66","Lithuania"
"67","Luxembourg"
"68","Macao"
"69","Madagascar"
"70","Malawi"
"71","Malaysia"
"72","Maldives"
"73","Mali"
"74","Malta"
"75","Mauritania"
"76","Mauritius"
"77","Mexico"
"78","Moldova (the Republic of)"
"79","Montenegro"
"80","Morocco"
"81","Namibia"
"82","Nepal"
"83","Netherlands (Kingdom of the)"
"84","New Zealand"
"85","Niger (the)"
"86","Norway"
"87","Oman"
"88","Pakistan"
"89","Panama"
"90","Peru"
"91","Philippines (the)"
"92","Poland"
"93","Portugal"
"94","Romania"
"95","Russidan Federation (the)"
"96","Rwanda"
"97","Saudi Arabia"
"98","Senegal"
"99","Serbia"
"100","Slovakia"
"101","Slovenia"
"102","South Africa"
"103","Spain"
"104","Sri Lanka"
"105","Sweden"
"106","Switzerland"
"107","Taiwan"
"108","Tanzania (the United Republic of)"
"109","Thailand"
"110","Togo"
"111","Tunisia"
"112","Türkiye"
"113","Uganda"
"114","Ukraine"
"115","United Kingdom of Great Britain and Northern Ireland (the)"
"116","United States of America (the)"
"117","Uruguay"
"118","Venezuela (Bolivarian Republic of)"
"119","Yemen"
"120","Zimbabwe"
