"","country","national_population","national_population_ref_year","school_aged_population","school_aged_population_ref_year","per_capita_gni","per_capita_gni_ref_year","isced_6_enrollment","isced_6_ref_year","isced_7_enrollment","isced_7_ref_year","isced_8_enrollment","isced_8_ref_year","university_enrollment","proportion_school_aged","proportion_school_aged_enrolled","baseline_per_capita_kg_co2e","baseline_adjusted_per_capita_kg_co2e","baseline_oecd_per_capita_kg_co2e","meatless_day_per_capita_kg_co2e","low_red_meat_per_capita_kg_co2e","no_red_meat_per_capita_kg_co2e","no_dairy_per_capita_kg_co2e","pescetarian_per_capita_kg_co2e","lacto_ovo_vegetarian_per_capita_kg_co2e","eat_lancet_per_capita_kg_co2e","two_thirds_vegan_per_capita_kg_co2e","vegan_per_capita_kg_co2e","baseline_population_kg_co2e","baseline_adjusted_population_kg_co2e","baseline_oecd_population_kg_co2e","meatless_day_population_kg_co2e","low_red_meat_population_kg_co2e","no_red_meat_population_kg_co2e","no_dairy_population_kg_co2e","pescetarian_population_kg_co2e","lacto_ovo_vegetarian_population_kg_co2e","eat_lancet_population_kg_co2e","two_thirds_vegan_population_kg_co2e","vegan_population_kg_co2e","baseline_adjusted_population_reduction_kg_co2e","baseline_oecd_population_reduction_kg_co2e","meatless_day_population_reduction_kg_co2e","low_red_meat_population_reduction_kg_co2e","no_red_meat_day_population_reduction_kg_co2e","no_dairy_population_reduction_kg_co2e","pescetarian_population_reduction_kg_co2e","lacto_ovo_vegetarian_population_reduction_kg_co2e","eat_lancet_population_reduction_kg_co2e","two_thirds_vegan_population_reduction_kg_co2e","vegan_population_reduction_kg_co2e","baseline_adjusted_population_percent_reduction_kg_co2e","baseline_oecd_population_percent_reduction_kg_co2e","meatless_day_population_percent_reduction_kg_co2e","low_red_meat_population_percent_reduction_kg_co2e","no_red_meat_day_population_percent_reduction_kg_co2e","no_dairy_population_percent_reduction_kg_co2e","pescetarian_population_percent_reduction_kg_co2e","lacto_ovo_vegetarian_population_percent_reduction_kg_co2e","eat_lancet_population_percent_reduction_kg_co2e","two_thirds_vegan_population_percent_reduction_kg_co2e","vegan_population_percent_reduction_kg_co2e"
"1","Afghanistan",38042000,2019,3826080,2018,550,2018,365982,2018,4600,2018,28,2018,370610,0.100575153777404,0.0968641533893698,898.407807550003,1757.34912059039,3208.27112895211,1817.49492040973,1835.41049646912,1954.94932889582,508.683834905418,881.51670700514,2178.36971932583,1379.19,756.150236589775,255.55079458947,332958917.556107,651291157.582003,1189017363.10094,673581792.453052,680221484.09642,724523770.782079,188523316.054297,326698906.783175,807325601.679346,511141605.9,280236839.182537,94709679.9828034,-318332240.025896,-856058445.544836,-340622874.896945,-347262566.540313,-391564853.225973,144435601.50181,6260010.77293175,-474366684.12324,-178182688.343893,52722078.3735701,238249237.573303,-0.95607062385483,-2.57106327659953,-1.02301772662253,-1.04295920076024,-1.17601551596824,0.433794062528663,0.0188011506611079,-1.42470034322869,-0.535149169908831,0.158344094702572,0.715551453981274
"2","Albania",2867000,2019,232597,2019,4860,2018,89231,2019,43749,2019,1865,2019,134845,0.0811290547610743,0.579736626009794,2012.70983492265,1772.53332179817,1744.27650844486,1699.05547211314,1737.56876213874,1289.98294200713,901.725120878478,1271.30189920844,1258.18837400296,689.52,833.034041888278,363.284401933334,271403857.690145,239017255.777874,235206965.781247,229109135.137096,234302459.730598,173947749.814952,121593123.924858,171428704.598763,169660411.292429,92978324.4,112330475.378425,48987085.1787005,32386601.9122715,36196891.9088987,42294722.5530493,37101397.9595475,97456107.8751938,149810733.765287,99975153.0913827,101743446.397716,178425533.290145,159073382.31172,222416772.511445,0.119329924739856,0.133369113530522,0.15583685107872,0.136701807687292,0.359081513080248,0.551984540825215,0.368363051071742,0.374878409111906,0.657417086141234,0.586113195536558,0.81950483093491
"3","Algeria",43053000,2019,3116237,2018,3920,2017,996087,2018,0,0,0,0,996087,0.072381413606485,0.319644173405296,1107.7870293482,1216.58335036028,2233.24643626611,1212.75638343726,1216.58335036028,1099.57254713464,829.601676236192,681.110007278683,1189.78635930634,852.12,597.291084824554,287.640889989989,1103452258.70236,1211822859.71032,2224507742.96101,1208010867.70887,1211822859.71032,1095269919.75771,826355444.87708,678444823.820201,1185130725.28237,848785654.44,594953884.809636,286515351.187458,-108370601.007964,-1121055484.25865,-104558609.006514,-108370601.007964,8182338.94465327,277096813.82528,425007434.882158,-81678466.5800135,254666604.26236,508498373.892724,816936907.514901,-0.0982105026776655,-1.01595286557933,-0.0947558973955726,-0.0982105026776655,0.00741521790374108,0.251118081131249,0.385161597640807,-0.0740208431636779,0.230790777085221,0.460824988015983,0.740346400192796
"4","Argentina",44901000,2019,3491568,2017,12390,2018,2210454,2017,276648,2017,26098,2017,2513200,0.0777614752455402,0.719791222740041,3516.52225958065,2783.61090072366,2279.40785261077,2556.99383657175,2180.06220868715,1061.91355405677,2505.35004552156,887.18409613196,1197.29145166028,1060.44,1269.18335200243,511.96957764182,8837723742.7781,6995770915.69871,5728607815.18138,6426236910.07213,5478932342.87254,2668801144.05547,6296445734.40479,2229671070.39884,3009032876.31262,2665097808,3189711600.25252,1286681942.52942,1841952827.07938,3109115927.59672,2411486832.70597,3358791399.90555,6168922598.72262,2541278008.3733,6608052672.37925,5828690866.46547,6172625934.7781,5648012142.52558,7551041800.24867,0.208419371400308,0.351800533495674,0.272862889007654,0.380051639727962,0.698021660132075,0.28754893028309,0.747709802286946,0.659523994651733,0.698440697450197,0.639079960735472,0.854410255403055
"5","Armenia",2958000,2019,178853,2019,4230,2018,69622,2019,10855,2019,985,2019,81462,0.0604641649763354,0.455469016454854,1645.62049194774,1644.59218704457,1952.96244540781,1594.54128134708,1635.49882471623,1116.23934840529,999.918532767696,1077.4662526765,1294.23584716212,720.45,798.79252881102,375.892699694243,134055536.515047,133971768.741025,159092226.727811,129894521.861096,133231005.259034,90931089.7997917,81455363.5163221,87772555.875533,105431040.581521,58689297.9,65071236.9820033,30620971.1024924,83767.7740217,-25036690.2127643,4161014.65395084,824531.256012991,43124446.715255,52600172.9987246,46282980.6395137,28624495.9335259,75366238.6150467,68984299.5330434,103434565.412554,0.00062487366206093,-0.186763567276866,0.0310394837999384,0.00615066917374534,0.321690903906938,0.392375983611991,0.345252287542177,0.213527144627204,0.562201611170214,0.514594930775578,0.771579959332336
"6","Australia",25303000,2019,1555767,2018,53230,2018,999034,2018,304632,2018,56110,2018,1359776,0.0614854760305102,0.874022909600216,3142.10031017867,2799.14007474012,2298.02302636851,2635.15553074974,2078.50666936132,1156.33338851759,2389.0576085563,1120.86314519104,1651.26195818594,775.22,1130.52417619023,296.202537013652,4272552591.37351,3806203494.26982,3124796558.70326,3583221246.98076,2826303484.83746,1572354389.7049,3248583198.73225,1524122804.1153,2245346380.45424,1054125550.72,1537259642.20324,402769100.970275,466349097.103689,1147756032.67024,689331344.392744,1446249106.53605,2700198201.66861,1023969392.64126,2748429787.25821,2027206210.91927,3218427040.65351,2735292949.17027,3869783490.40323,0.109149995729782,0.26863473488603,0.161339463856931,0.338497672200945,0.631987118688824,0.239662209122645,0.643275823639345,0.474471915222833,0.753279678090252,0.640201118809621,0.905731037276525
"7","Austria",8865000,2019,496255,2018,49310,2018,199235.73132,2018,135346.1126,2018,20396.37352,2018,354978.21744,0.0559791314156796,0.715314137771912,1583.39202942252,1311.318198368,1504.00127565242,1269.73092638409,1140.02352314424,899.378072251692,920.597883473354,830.926257709782,1020.20729448061,499.68,618.775906180247,272.501920332991,562069680.11311,465489396.553305,533887691.858582,450726820.876263,404683518.085411,319259624.892529,326792195.654408,294960721.785908,362151366.814014,177375515.690419,219651968.170685,96732245.9287819,96580283.559805,28181988.2545279,111342859.236847,157386162.027699,242810055.220581,235277484.458702,267108958.327202,199918313.299096,384694164.422691,342417711.942425,465337434.184328,0.171829733887032,0.0501396699584589,0.198094405687281,0.280011834112858,0.431992800557607,0.418591311332352,0.475223922901248,0.355682436488773,0.6844243303522,0.60920865162753,0.827899903959744
"8","Azerbaijan",10032000,2019,692066,2019,4050,2018,160631,2019,20954,2019,2626,2019,184211,0.0689858452950558,0.266175480373259,1653.51353450057,1767.82077345685,2409.49570979099,1723.684009503,1767.82077345685,1263.45396591211,999.351101360912,1151.9548537662,1458.8634257799,945.82,778.43536047951,283.742653990839,304595381.703885,325652032.49926,443855614.196307,317521555.074558,325652032.49926,232742118.514636,184091465.732795,212202755.567125,268738690.526341,174230448.02,143396356.189291,52268518.0343064,-21056650.7953752,-139260232.492422,-12926173.3706723,-21056650.7953752,71853263.1892497,120503915.97109,92392626.1367604,35856691.1775438,130364933.683885,161199025.514594,252326863.669579,-0.0691299082657975,-0.457197452283781,-0.042437194216026,-0.0691299082657975,0.235897415079991,0.395619642349795,0.303329044649077,0.117719090082601,0.427993796080009,0.529223472177609,0.828400162399311
"9","Barbados",287000,2019,18979,2015,15410,2018,0,0,0,0,133,2011,133,0.0661289198606272,0.00700774540281364,1581.54345108569,1556.58134978675,2330.2545467978,1543.45581456011,1489.39294121961,890.917858732421,1180.89939406497,873.424817351371,1464.70260320028,854.7,718.660255944407,299.699709023235,210345.278994397,207025.319521638,309923.854724108,205279.623336495,198089.261182208,118492.075211412,157059.619410641,116165.500707732,194805.446225638,113675.1,95581.8140406062,39860.0613000902,3319.95947275878,-99578.575729711,5065.65565790175,12256.0178121889,91853.203782985,53285.6595837562,94179.7782866647,15539.8327687593,96670.178994397,114763.464953791,170485.217694307,0.015783380015138,-0.473405327686786,0.0240825735767366,0.0582661891475844,0.436678228397185,0.253324723228876,0.447738968694293,0.0738777349463272,0.45957855320809,0.545595629730524,0.810501754588217
"10","Belarus",9467000,2019,445306,2018,5670,2018,284348,2018,14947,2018,5652,2018,304947,0.0470377099397909,0.684803258882656,1467.68269080873,1301.26100459835,1643.02287929375,1289.4821795822,1160.99243447691,977.397033882006,1004.75848439348,859.253601625634,1218.80922948529,565.66,642.680494728977,313.39023979429,447565433.51405,396815639.569253,501034897.97199,393223722.217053,354041159.916429,298054293.291216,306398085.540339,262026808.054932,371672218.103849,172496320.02,195983488.826117,95567413.4545492,50749793.9447961,-53469464.4579407,54341711.2969967,93524273.5976207,149511140.222833,141167347.97371,185538625.459117,75893215.4102001,275069113.49405,251581944.687932,351998020.0595,0.113390780754303,-0.119467368241838,0.121416238225401,0.208962235674272,0.334054261181321,0.315411641299772,0.414550837857082,0.169568983051989,0.614589717830421,0.562112097694057,0.786472756163934
"11","Belgium",11483000,2019,653387,2018,45910,2018,372686,2018,102785,2018,17339,2018,492810,0.0569003744666028,0.754239065056391,1766.90166528735,1596.79279540984,1807.44689884916,1543.63442110099,1420.45977763189,1099.75739303261,1201.57168224578,996.527724489225,1224.70114484927,601.44,735.735849074053,305.209545237691,870746809.670258,786915457.505926,890727906.221853,760718479.062779,700016783.014773,541971440.860399,592146540.727545,491098827.905535,603544971.193171,296395646.4,362577983.782184,150410315.988587,83831352.164332,-19981096.5515952,110028330.607478,170730026.655485,328775368.809859,278600268.942713,379647981.764723,267201838.477087,574351163.270258,508168825.888074,720336493.681671,0.0962752332059397,-0.0229470798281326,0.126360877106337,0.196073100423002,0.37757860856747,0.319955543734023,0.436002724958006,0.306865136351488,0.659607542504529,0.583601134387747,0.827262857218454
"12","Belize",390000,2019,39334,2019,4470,2018,5383,2019,0,0,0,0,5383,0.10085641025641,0.136853612650633,1085.4358820728,1220.19038138154,2956.03549424065,1155.61675322468,1124.78211266852,638.974518846034,956.913149400672,571.92624447452,768.174984283489,849.91,615.243726402025,312.770398912267,5842901.35319786,6568284.82297684,15912339.0654974,6220684.98260844,6054702.11249465,3439599.8349482,5151063.48322382,3078678.97400634,4135085.94039802,4575065.53,3311856.9792221,1683643.05734473,-725383.469778974,-10069437.7122996,-377783.629410571,-211800.759296787,2403301.51824966,691837.869974049,2764222.37919152,1707815.41279984,1267835.82319786,2531044.37397576,4159258.29585313,-0.12414782073669,-1.72336260765185,-0.064656855656789,-0.0362492444238968,0.411319885956028,0.11840656347816,0.473090715056937,0.292288934822619,0.216987374346816,0.433182800971046,0.711848111824914
"13","Benin",11801000,2019,1057994,2018,870,2018,0,0,12657,2018,2060,2018,14717,0.0896529107702737,0.0139102868258232,821.823258203771,1009.06903322283,5296.66528437061,990.040682995551,1019.24131834751,789.865824758524,852.873665313478,517.753967710966,875.870581631885,2628.28,503.319879483218,250.445302613412,12094772.8909849,14850468.9619404,77951022.9900823,14570428.7316455,15000174.4821203,11624455.3429712,12551741.7324185,7619785.14280228,12890187.3498764,38680396.76,7407358.66635451,3685803.51856159,-2755696.07095547,-65856250.0990974,-2475655.84066062,-2905401.59113544,470317.548013711,-456968.841433555,4474987.74818262,-795414.458891543,-26585623.8690151,4687414.22463039,8408969.37242331,-0.227841902927296,-5.44501750406449,-0.204688079964354,-0.240219607042067,0.0388860173111868,-0.0377823416406741,0.369993532620869,-0.0657651421867063,-2.19810856381034,0.387557027062844,0.695256492057914
"14","Bosnia and Herzegovina",3301000,2019,221486,2019,5740,2018,67031,2019,21004,2019,981,2019,89016,0.0670966373826113,0.401903506316426,1036.19213548213,1059.96776453293,1680.31536097247,1052.40536653988,1059.96776453293,891.585839560239,630.435810226685,822.203362410849,1007.03097858158,644.58,545.787231668826,288.696965236772,92237679.1320769,94354090.5276636,149574952.172326,93680916.1079142,94354090.5276636,79365405.0942942,56118874.0831386,73189254.5083642,89641869.5894181,57377933.28,48583796.2142322,25698649.0575165,-2116411.3955867,-57337273.0402486,-1443236.97583733,-2116411.3955867,12872274.0377827,36118805.0489383,19048424.6237127,2595809.54265879,34859745.8520769,43653882.9178447,66539030.0745603,-0.0229451934990273,-0.621625279167598,-0.0156469350640397,-0.0229451934990273,0.139555484904933,0.391584061836802,0.206514569782669,0.0281426155458856,0.377933900550127,0.473276033488829,0.721386646982757
"15","Botswana",2304000,2019,202724,2019,7750,2018,34515,2019,2266,2019,123,2019,36904,0.0879878472222222,0.182040606933565,1585.27105265248,2473.74634007766,3535.02081537172,2432.06009409818,2318.21208710223,1862.81022888101,1141.61159140208,1041.29654867966,2181.94212737559,1633,1004.83019595427,270.371730012367,58502842.9270871,91291134.9342258,130456408.170478,89752745.7125993,85551298.8624206,68745148.6866248,42130034.1691023,38428007.8324742,80522392.2686688,60264232,37082253.5514965,9977798.3243764,-32788292.0071387,-71953565.243391,-31249902.7855122,-27048455.9353335,-10242305.7595377,16372808.7579847,20074835.0946129,-22019549.3415818,-1761389.07291292,21420589.3755906,48525044.6027107,-0.560456387529803,-1.22991570397814,-0.534160413784667,-0.462344299558987,-0.175073641674181,0.279863472248527,0.343142898536271,-0.376384261684941,-0.030107751773844,0.366146127330724,0.829447633223365
"16","Brazil",211050000,2019,15944204,2011,9140,2018,8450755,2018,175220,2018,115028,2018,8741003,0.0755470457237621,0.548224483329491,4366.10150745358,3420.64064279978,3454.11717370973,3219.17444334407,3170.02211988991,1556.53733245652,2689.86378437777,1053.40129208725,2010.37557034719,1375.73,1393.15160514362,379.397849550029,38164106374.9562,29899830120.6348,30192448577.7482,28138813466.7939,27709172860.024,13605697492.6144,23512107408.8374,9207783854.33851,17572698891.5315,12025260057.19,12177542360.0152,3316317741.11036,8264276254.32146,7971657797.208,10025292908.1624,10454933514.9322,24558408882.3418,14651998966.1188,28956322520.6177,20591407483.4248,26138846317.7662,25986564014.941,34847788633.8459,0.216545781869652,0.208878408389489,0.262689051583324,0.273946765901294,0.643494927958207,0.383920923554853,0.758731836561991,0.539549053791997,0.684906547030245,0.680916350028668,0.913103749671797
"17","Bulgaria",6970000,2019,330439,2018,8860,2018,155091,2018,74680,2018,6564,2018,236335,0.0474087517934003,0.715215213700562,989.197994764998,926.890656478838,1609.27365772579,941.374928670352,942.744082760402,797.43421475657,639.260163697665,727.029354516048,1028.42497147591,585.97,509.514924728238,300.841703222777,233782108.092786,219056703.298926,380327689.898624,222479843.767308,222803422.79918,188461615.144494,151079550.787488,171822482.49955,243052815.63376,138485219.95,120416209.735648,71099423.9311551,14725404.7938596,-146545581.805838,11302264.325478,10978685.2936061,45320492.9482918,82702557.305298,61959625.5932356,-9270707.54097387,95296888.1427857,113365898.357138,162682684.161631,0.0629877320980238,-0.626846866089837,0.0483452921940127,0.0469611869923288,0.193857833339002,0.353759139140255,0.265031512029331,-0.0396553338345911,0.407631229439352,0.484921191283568,0.695873116590529
"18","Burkina Faso",20321000,2019,1868186,2019,670,2018,43145,2014,33243,2014,1382,2019,77770,0.0919337631022095,0.0416286172790076,1104.56432849279,1076.5072800445,4655.49571423387,1003.78173150145,1125.03569709796,550.916404596559,911.900172188134,511.931778858121,567.428440243124,1910.79,548.77607144179,284.910467140435,85901967.8268842,83719971.1690607,362057901.695968,78064105.2588674,87494026.1633085,42844768.7854744,70918476.3910712,39812934.4417961,44128909.7977077,148602138.3,42678315.076028,22157487.0295117,2181996.65782349,-276155933.869084,7837862.56801675,-1592058.33642435,43057199.0414098,14983491.435813,46089033.3850881,41773058.0291765,-62700170.4731158,43223652.7508562,63744480.7973725,0.0254010089992444,-3.21478006680374,0.0912419443500081,-0.0185334326639965,0.501236469089762,0.174425473768061,0.536530588891398,0.486287556454592,-0.729903773560505,0.503174186160247,0.742060774740748
