Country Name,Country Code,Series,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,450,510,530,630,660,630,600,570,550,550,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383128,36296400,37172386,38042000,..,..,..,..,..,..
Afghanistan,AFG,"School age population, tertiary education, both sexes (number)",SP.TER.TOTL.IN,1833744,1930922,2050093,2179992,2305214,2415828,2457387,2479408,2494990,2521469,2569861,2691797,2840536,3011289,3193831,3379018,..,..,3826080,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,260330,..,..,..,365982,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2525,..,..,..,4600,..,..,..,..,..,..,..
Afghanistan,AFG,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,..,..,..,..,..,..,..,..,..,..,..,0,..,..,19,..,..,..,28,..,..,..,..,..,..,..
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1100,1280,1370,1650,2100,2620,3050,3460,4030,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,..,..,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2867000,..,..,..,..,..,..
Albania,ALB,"School age population, tertiary education, both sexes (number)",SP.TER.TOTL.IN,258261,256900,258469,261748,266530,272779,280612,283060,282325,278980,274586,270410,271449,270523,267551,262321,254526,247232,239865,232597,..,..,..,..,..,..
Albania,ALB,"Enrolment in tertiary education, ISCED 6 programmes, both sexes (number)",UIS.E.6,..,..,..,..,..,..,..,..,..,..,..,..,..,123302,121519,110159,99485,94527,84629,89231,..,..,..,..,..,..
Albania,ALB,"Enrolment in tertiary education, ISCED 7 programmes, both sexes (number)",UIS.E.7,..,..,..,..,..,..,..,..,..,..,..,..,..,45955,47747,46423,43710,42616,42664,43749,..,..,..,..,..,..
Albania,ALB,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)",UIS.E.8,0,0,0,0,0,..,..,..,..,..,..,2094,2628,3772,4553,3945,3551,2464,1412,1865,..,..,..,..,..,..
