country_code,country,diet,attribute,value,value_baseline,diff_baseline,%_diff_baseline,population,country_group
169,Paraguay,EAT Lancet,per_capita_kg_co2e," 1,702.10 "," 4,992.79 "," (3,290.69)",-66%," 6,733,303 ",smaller_footprint
40,Chile,EAT Lancet,per_capita_kg_co2e," 1,265.21 "," 4,327.71 "," (3,062.50)",-71%," 18,101,955 ",smaller_footprint
21,Brazil,EAT Lancet,per_capita_kg_co2e," 1,375.73 "," 4,261.78 "," (2,886.05)",-68%," 205,308,095 ",smaller_footprint
9,Argentina,EAT Lancet,per_capita_kg_co2e," 1,060.44 "," 3,533.77 "," (2,473.33)",-70%," 43,289,633 ",smaller_footprint
10,Australia,EAT Lancet,per_capita_kg_co2e, 775.22 ," 3,159.06 "," (2,383.84)",-75%," 24,094,063 ",smaller_footprint
141,Mongolia,EAT Lancet,per_capita_kg_co2e," 1,321.36 "," 3,158.54 "," (1,837.18)",-58%," 3,027,175 ",smaller_footprint
19,Bolivia,EAT Lancet,per_capita_kg_co2e," 1,826.03 "," 3,008.17 "," (1,182.14)",-39%," 10,950,228 ",smaller_footprint
37,Central African Republic,EAT Lancet,per_capita_kg_co2e," 2,378.55 "," 2,916.00 ", (537.45),-18%," 4,522,765 ",smaller_footprint
234,Uruguay,EAT Lancet,per_capita_kg_co2e," 1,088.55 "," 2,583.12 "," (1,494.57)",-58%," 3,418,305 ",smaller_footprint
156,New Zealand,EAT Lancet,per_capita_kg_co2e, 761.49 ," 2,379.46 "," (1,617.97)",-68%," 4,635,840 ",smaller_footprint
105,Israel,EAT Lancet,per_capita_kg_co2e, 890.44 ," 2,343.45 "," (1,453.01)",-62%," 8,046,383 ",smaller_footprint
99,Iceland,EAT Lancet,per_capita_kg_co2e, 653.84 ," 2,343.02 "," (1,689.18)",-72%," 331,358 ",smaller_footprint
104,Ireland,EAT Lancet,per_capita_kg_co2e, 679.30 ," 2,332.69 "," (1,653.39)",-71%," 4,682,083 ",smaller_footprint
96,Hong Kong SAR,EAT Lancet,per_capita_kg_co2e, 700.33 ," 2,312.92 "," (1,612.59)",-70%," 7,217,633 ",smaller_footprint
108,Kazakhstan,EAT Lancet,per_capita_kg_co2e, 859.70 ," 2,301.08 "," (1,441.38)",-63%," 17,696,390 ",smaller_footprint
236,Venezuela,EAT Lancet,per_capita_kg_co2e," 1,229.74 "," 2,250.25 "," (1,020.51)",-45%," 29,844,635 ",smaller_footprint
20,Botswana,EAT Lancet,per_capita_kg_co2e," 1,633.00 "," 2,166.25 ", (533.26),-25%," 2,143,588 ",smaller_footprint
231,United States,EAT Lancet,per_capita_kg_co2e, 586.17 ," 2,135.79 "," (1,549.62)",-73%," 321,913,118 ",smaller_footprint
118,Kuwait,EAT Lancet,per_capita_kg_co2e," 1,110.47 "," 2,117.81 "," (1,007.35)",-48%," 3,884,878 ",smaller_footprint
44,Colombia,EAT Lancet,per_capita_kg_co2e," 1,269.87 "," 2,098.01 ", (828.14),-39%," 47,893,315 ",smaller_footprint
166,Panama,EAT Lancet,per_capita_kg_co2e," 1,147.97 "," 2,055.26 ", (907.28),-44%," 4,003,413 ",smaller_footprint
3,Albania,EAT Lancet,per_capita_kg_co2e, 689.52 ," 2,048.02 "," (1,358.50)",-66%," 2,889,355 ",smaller_footprint
48,Costa Rica,EAT Lancet,per_capita_kg_co2e," 1,007.97 "," 1,996.41 ", (988.44),-50%," 4,873,125 ",smaller_footprint
174,Portugal,EAT Lancet,per_capita_kg_co2e, 654.71 ," 1,995.18 "," (1,340.46)",-67%," 10,350,160 ",smaller_footprint
273,Montenegro,EAT Lancet,per_capita_kg_co2e, 623.10 ," 1,973.22 "," (1,350.12)",-68%," 627,105 ",smaller_footprint
68,France,EAT Lancet,per_capita_kg_co2e, 605.57 ," 1,967.63 "," (1,362.06)",-69%," 64,539,215 ",smaller_footprint
256,Luxembourg,EAT Lancet,per_capita_kg_co2e, 604.81 ," 1,938.08 "," (1,333.27)",-69%," 573,108 ",smaller_footprint
162,Norway,EAT Lancet,per_capita_kg_co2e, 635.99 ," 1,892.64 "," (1,256.65)",-66%," 5,222,348 ",smaller_footprint
113,Kyrgyzstan,EAT Lancet,per_capita_kg_co2e, 943.15 ," 1,891.27 ", (948.12),-50%," 6,016,928 ",smaller_footprint
210,Sweden,EAT Lancet,per_capita_kg_co2e, 548.89 ," 1,876.36 "," (1,327.47)",-71%," 9,799,498 ",smaller_footprint
229,United Kingdom,EAT Lancet,per_capita_kg_co2e, 665.44 ," 1,874.04 "," (1,208.60)",-64%," 66,077,150 ",smaller_footprint
150,Netherlands,EAT Lancet,per_capita_kg_co2e, 601.27 ," 1,841.54 "," (1,240.27)",-67%," 16,958,415 ",smaller_footprint
128,"China, Macao SAR",EAT Lancet,per_capita_kg_co2e, 737.56 ," 1,838.52 "," (1,100.95)",-60%," 606,933 ",smaller_footprint
203,Spain,EAT Lancet,per_capita_kg_co2e, 596.29 ," 1,756.79 "," (1,160.50)",-66%," 46,682,858 ",smaller_footprint
211,Switzerland,EAT Lancet,per_capita_kg_co2e, 582.76 ," 1,739.95 "," (1,157.19)",-67%," 8,334,623 ",smaller_footprint
